token	corpus size	all contexts size	frequency	co-frequency	specificity
urban	29301	18521	289	287	53.77
of	29301	18521	1299	1041	41.37
zelda	29301	18521	323	306	40.76
the	29301	18521	2226	1573	14.61
is	29301	18521	356	278	9.35
reviews	29301	18521	59	57	9.00
master	29301	18521	51	50	8.70
describes	29301	18521	48	47	8.12
rings	29301	18521	40	40	7.98
folklore	29301	18521	78	71	7.78
that	29301	18521	272	213	7.56
card	29301	18521	35	35	6.98
five	29301	18521	41	40	6.80
fire	29301	18521	33	33	6.58
an	29301	18521	159	129	6.40
ring	29301	18521	38	37	6.23
arthurian	29301	18521	30	30	5.98
local	29301	18521	42	40	5.91
a	29301	18521	670	477	5.69
default	29301	18521	72	63	5.54
get	29301	18521	32	31	5.11
endless	29301	18521	40	37	4.68
about	29301	18521	61	52	4.03
list	29301	18521	23	22	3.46
source	29301	18521	23	22	3.46
article	29301	18521	17	17	3.39
gmt	29301	18521	17	17	3.39
tales	29301	18521	26	24	3.14
oracle	29301	18521	15	15	2.99
are	29301	18521	120	91	2.98
matplotlib	29301	18521	20	19	2.92
skyward	29301	18521	14	14	2.79
disney	29301	18521	32	28	2.76
game	29301	18521	109	82	2.62
for	29301	18521	183	132	2.61
loc	29301	18521	18	17	2.57
man	29301	18521	45	37	2.51
s	29301	18521	235	166	2.50
fact	29301	18521	12	12	2.39
breath	29301	18521	12	12	2.39
twilight	29301	18521	12	12	2.39
figure	29301	18521	29	25	2.34
modern	29301	18521	25	22	2.32
slender	29301	18521	25	22	2.32
sword	29301	18521	16	15	2.22
rcparams	29301	18521	28	24	2.21
ii	29301	18521	11	11	2.19
rmrk	29301	18521	11	11	2.19
remarkist	29301	18521	11	11	2.19
handler	29301	18521	24	21	2.18
