item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
	223176		1411		2886		29		1669		3134		1425		2130		2914		2786		858		5942		1126		1196		154		8935		1165		2310		2945		1120		6594		1156		2955		1939		744		11261		917		1895		1099		21		21		1391		1300		18585		34910		9716		1882		19040		959		2979		2874		903		1811		26631		4026		10350		1801		2079		5453		2224		1525
the	9931	62	1.29	178	5.46	0	-0.57	71	-1.35	226	12.08	63	1.29	76	-2.24	98	-3.32	95	-3.07	56	2.93	180	-8.55	49	-1.24	31	-3.62	3	-1.26	227	-21.82	71	2.77	55	-7.36	99	-3.35	11	-10.91	402	10.18	26	-4.59	84	-5.86	76	-1.62	61	5.61	492	-1.76	20	-4.00	49	-5.20	67	2.68	1	0.42	1	0.42	28	-6.41	47	-1.72	842	1.90	1438	-4.29	469	2.43	113	3.53	1084	17.15	19	-4.78	172	3.98	142	1.81	20	-3.86	129	7.12	1210	2.04	192	1.73	483	1.98	96	2.05	125	3.80	235	-1.63	119	2.30	38	-4.73
of	5913	56	3.07	75	-1.33	0	0.34	43	-1.22	106	2.73	54	2.64	64	1.51	59	-2.33	53	-2.72	12	-2.30	153	-1.51	29	1.13	13	-4.12	4	0.70	85	-30.91	32	1.15	34	-4.39	46	-4.70	3	-9.42	221	4.17	12	-4.23	97	2.32	46	-1.36	31	2.37	351	3.72	10	-3.31	60	1.68	28	-1.13	0	0.24	0	0.24	88	12.93	39	1.32	417	-4.64	635	-28.19	293	2.72	89	7.00	873	57.04	14	-2.34	93	1.91	115	5.31	9	-3.60	51	1.29	575	-8.22	109	1.42	385	11.05	88	7.52	65	1.68	111	-3.33	56	-1.30	31	-1.67
and	4379	31	1.22	65	1.56	0	0.25	40	1.53	50	-1.76	44	2.96	45	1.27	94	5.85	44	-1.72	13	-1.17	103	-1.77	21	-1.07	9	-3.46	1	-0.84	28	-44.46	6	-4.70	46	1.23	46	-1.80	7	-3.91	187	6.70	14	-1.83	52	-1.39	37	-1.18	12	-1.05	186	-2.88	19	1.05	41	1.28	24	1.14	2	1.26	2	1.26	37	1.87	52	5.98	366	1.66	699	1.85	171	-1.99	31	-1.37	344	-2.23	20	1.06	53	-1.37	69	1.90	17	1.02	69	6.85	632	7.22	61	-2.29	186	-1.86	33	-1.19	49	1.58	132	2.69	55	1.87	34	1.28
to	3721	24	1.09	48	1.23	2	1.14	39	2.08	69	2.40	18	-1.36	43	1.54	59	1.75	43	-1.27	17	1.12	60	-5.33	19	1.04	31	2.31	2	0.59	73	-12.20	10	-2.13	40	1.21	50	1.25	35	3.69	129	2.16	30	2.27	39	-1.71	41	1.68	12	0.94	167	-2.05	25	2.24	20	-2.14	26	1.73	1	0.60	1	0.60	6	-4.80	30	1.77	314	1.64	432	-12.62	174	1.71	43	2.07	279	-2.77	29	3.02	72	3.30	76	4.47	25	2.31	40	1.84	487	2.72	96	3.85	158	-1.78	31	1.15	40	1.37	131	4.98	45	1.57	40	2.78
a	3682	23	1.08	50	1.27	0	0.21	37	1.83	91	6.85	31	1.62	24	-1.97	62	2.12	45	1.22	12	-1.01	55	-6.33	26	1.69	15	-1.26	2	0.59	43	-24.49	13	-1.46	26	-2.07	42	-1.42	1	-6.84	102	-1.49	26	1.60	50	1.25	29	-1.19	12	0.94	406	47.96	13	-1.02	25	-1.39	16	-1.06	1	0.60	1	0.60	9	-3.32	19	-1.10	310	1.63	487	-5.47	151	-1.60	24	-1.47	287	-2.19	14	-1.02	56	1.47	77	4.82	19	1.27	33	1.22	433	-1.71	66	1.30	166	-1.53	18	-2.22	33	-1.17	110	2.35	69	6.37	22	-1.16
in	3459	28	1.47	46	1.23	0	0.20	18	-1.62	51	1.27	22	1.07	32	-1.15	37	-1.53	48	1.35	8	-1.40	72	-2.39	12	-1.36	16	-1.08	5	1.23	51	-17.81	14	-1.19	15	-4.42	56	1.76	3	-4.65	71	-3.73	16	-1.05	59	2.06	14	-3.35	17	1.51	280	14.25	5	-2.51	11	-4.27	23	1.49	0	0.14	0	0.14	18	-1.16	15	-1.31	450	20.71	455	-5.44	181	2.85	41	2.15	335	2.89	2	-4.46	41	-1.34	45	1.22	4	-2.90	17	-2.14	421	1.72	30	-5.79	149	-1.67	28	1.12	56	4.48	85	1.36	35	1.17	21	-1.13
The	2587	18	1.06	28	-1.33	0	0.15	16	-1.14	28	-1.58	22	1.43	18	-1.47	16	-3.58	31	-1.15	3	-2.12	64	-1.37	10	-1.07	1	-4.92	0	-0.78	54	-7.79	7	-1.66	4	-7.39	74	9.13	4	-2.59	98	2.65	7	-1.64	25	-1.71	34	2.29	4	-1.39	232	16.57	2	-2.89	9	-3.06	11	-0.97	0	0.11	0	0.11	3	-4.20	14	-0.99	81	-27.18	531	11.24	57	-8.91	28	1.48	423	37.71	1	-3.81	22	-2.23	43	1.78	0	-4.58	17	-1.19	295	-1.76	40	-1.42	95	-2.66	16	-1.27	18	-1.40	38	-3.82	33	1.57	12	-1.39
s	2283	25	2.50	6	-6.95	0	0.13	22	1.36	35	1.22	32	4.58	19	-1.12	22	-1.57	33	1.30	5	-1.18	38	-3.40	25	3.70	4	-2.36	0	-0.69	11	-26.52	1	-4.13	4	-6.22	33	1.21	5	-1.77	61	-1.43	9	-1.04	18	-2.31	14	-1.39	6	-0.87	92	-2.53	0	-4.10	15	-1.22	6	-1.44	0	0.09	0	0.09	3	-3.53	10	-1.10	282	10.97	514	17.89	96	-1.41	16	-1.13	202	1.59	1	-3.29	25	-1.33	30	1.14	1	-3.07	11	-1.71	236	-2.82	52	1.84	141	3.90	9	-2.19	33	2.38	37	-2.79	17	-1.37	26	2.38
on	2230	2	-4.16	32	1.22	1	0.66	14	-1.07	17	-2.76	3	-3.53	16	-1.32	25	-1.23	25	-1.16	26	6.17	27	-6.08	7	-1.23	7	-1.36	1	0.48	32	-12.18	7	-1.30	17	-1.40	17	-2.39	4	-2.06	34	-5.38	7	-1.28	13	-3.55	7	-3.14	4	-1.13	61	-7.76	5	-1.25	4	-4.54	7	-1.19	0	0.09	0	0.09	1	-4.94	3	-3.10	67	-24.84	505	18.09	46	-8.81	4	-4.50	342	25.64	5	-1.34	14	-3.28	17	-2.26	5	-1.22	15	-1.11	401	16.72	85	9.83	202	18.67	11	-1.62	21	1.06	31	-3.83	19	-1.15	14	-0.99
